item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
psychology,958,0.8036534446764092,0.6970772442588726,0.637891440501044,0.7200939457202504,0.6148225469728601
no answer ,73,0.7095890410958904,0.6113013698630138,0.6054794520547945,0.7202054794520548,0.6787671232876711
thinking fast and slow,76,0.8414473684210526,0.6457236842105263,0.5858552631578947,0.6927631578947367,0.6230263157894737
twisted hate,95,0.7502631578947369,0.6144736842105264,0.6457894736842106,0.7313157894736845,0.7044736842105265
dont have one,247,0.6755060728744938,0.6120445344129555,0.5993927125506073,0.7168016194331983,0.6602226720647772
novel ,472,0.7765889830508474,0.6240995762711864,0.5933792372881357,0.7129237288135594,0.7117055084745763
diary of a wimpy kid ,108,0.6865740740740739,0.6349537037037037,0.6479166666666667,0.7231481481481481,0.6243055555555556
coraline,87,0.8186781609195402,0.6218390804597702,0.6091954022988506,0.735632183908046,0.7022988505747125
bumi series,129,0.7965116279069767,0.5709302325581396,0.5664728682170542,0.6742248062015503,0.7162790697674419
norwegian wood,119,0.8584033613445378,0.6069327731092438,0.5878151260504201,0.707563025210084,0.6955882352941175
november th,1,0.6749999999999999,0.525,0.525,0.7,0.725
holes,99,0.7247474747474747,0.6303030303030304,0.6300505050505051,0.7421717171717173,0.6588383838383839
the way of kings,85,0.85,0.621764705882353,0.6079411764705882,0.7105882352941176,0.626470588235294
hamlet,86,0.8156976744186045,0.6124999999999999,0.6366279069767442,0.7215116279069768,0.6854651162790698
